subject,task,ent_rate
18,S 72,1.1716878685077008
19,REST,1.5221706146377123
19,S 21,1.3118059944668414
19,S 22,1.4686080553750658
19,S 51,1.307884986043976
19,S 52,1.319095476581149
19,S 71,1.4240109294552863
19,S 72,1.332661320012505
20,REST,1.5589141431302898
20,S 21,1.3122533381945463
20,S 22,1.4398311360061953
20,S 51,1.3174631504455996
20,S 52,1.3247232609028052
20,S 71,1.4940283400526455
20,S 72,1.3479943813962665
21,REST,1.449722880014578
21,S 21,1.2290452395381348
21,S 22,1.3687431412702717
21,S 51,1.2173588705588685
21,S 52,1.2288849686419956
21,S 71,1.3709419282068076
21,S 72,1.2143458152097324
22,REST,1.5159874631640469
22,S 21,1.3196370197537863
22,S 22,1.453424741701016
22,S 51,1.3301814446130737
22,S 52,1.3454049048030052
22,S 71,1.4644471969584816
22,S 72,1.3419844526722142
23,REST,1.4740260387063946
23,S 21,1.2962274689716995
23,S 22,1.412778647034892
23,S 51,1.271330228149415
23,S 52,1.2624285617697208
23,S 71,1.384721183631727
23,S 72,1.2526687658869258
24,REST,1.4989463772450349
24,S 21,1.3178195967674609
24,S 22,1.431441559410298
24,S 51,1.27409691173362
24,S 52,1.2844647464934253
24,S 71,1.4006192199318057
24,S 72,1.284850222466007
25,REST,1.5265732942787398
25,S 21,1.305341367108261
25,S 22,1.4479355640335427
25,S 51,1.292314326756944
25,S 52,1.2942535112832874
25,S 71,1.4403518092670313
25,S 72,1.3070393749819949
26,REST,1.4400953659249778
26,S 21,1.2532592402410805
26,S 22,1.3889873217644464
26,S 51,1.264428655454206
26,S 52,1.2669611621979142
26,S 71,1.3863486000961769
26,S 72,1.24934137715302
27,REST,1.5340647368973743
27,S 21,1.2684977218495233
27,S 22,1.394142223419711
27,S 51,1.2857757359397235
27,S 52,1.288414074735345
27,S 71,1.4195329979417377
27,S 72,1.270926169483775
28,REST,1.536450252732436
28,S 21,1.2103680669327146
28,S 22,1.3443013615925665
28,S 51,1.2411182150212363
28,S 52,1.2278013142284347
28,S 71,1.3402292985709612
28,S 72,1.2224339164136615
29,REST,1.4728541054131612
29,S 21,1.2554173216269529
29,S 22,1.4002755351083858
29,S 51,1.2257517311574475
29,S 52,1.2322737828067245
29,S 71,1.3486875091874206
