subject,task,microstate,mean_corr,gev,timecov,meandurs,occurrences
1,REST,0,0.8638951439301644,0.025734733120733287,0.1955069823922283,0.01286431181485993,15.197624653842166
1,REST,1,0.7700719568894422,0.0065395738251828334,0.12147733499192916,0.01031499528450173,11.776770773172213
1,REST,2,0.7889623328838123,0.006966810281811675,0.12805248271061945,0.010396152690111212,12.317295304100583
1,REST,3,0.8058406890017411,0.006137662975296845,0.09720556221955662,0.008888287068381856,10.936366194263035
1,REST,4,0.7160627252886527,0.0026356318668207925,0.08093059072667229,0.00849591916051302,9.525819301908866
1,REST,5,0.7498359550064837,0.004395839616557178,0.11719756541827714,0.009283284457478008,12.624579797710545
1,REST,6,0.7738680804283954,0.005914238717785748,0.12109230381921306,0.010370323398858591,11.676810757178611
1,REST,7,0.8248302668491394,0.010675681478666809,0.13853717772150398,0.010840092699884125,12.780073155922816
1,S 21,0,0.8597930646597781,0.0030652513260225195,0.18562489034446458,0.012207692307692308,15.20556757705129
1,S 21,1,0.7483511778900207,0.0006213487214925646,0.09795894496754196,0.008885941644562335,11.024036493362185
1,S 21,2,0.8183765459439901,0.0020716705843614675,0.1796011462658635,0.011868599033816428,15.132463886777005
1,S 21,3,0.8204790747100282,0.0013565666334431421,0.12293116556523773,0.010117930204572806,12.149833323586174
1,S 21,4,0.703216463736472,0.0003303489334547595,0.0755014913152816,0.008170886075949369,9.24030645066963
1,S 21,5,0.7616790232979633,0.0008603059625492166,0.12813614831276682,0.009484848484848487,13.509561962687878
1,S 21,6,0.7640551710090502,0.0007439991375985435,0.10871980817591673,0.00934170854271357,11.63810749166618
1,S 21,7,0.8086148174604819,0.0009479673011771911,0.10152640505292707,0.008948453608247423,11.345692730569038
1,S 22,0,0.857093865288467,0.007408184014700627,0.16748088141322945,0.011966126656848307,13.996248428256344
1,S 22,1,0.7488182236759963,0.0015373427984147919,0.09082101704697709,0.008851833249623306,10.260136458268917
1,S 22,2,0.8176981744105293,0.006346622862538572,0.19454579184960732,0.012823369565217391,15.171191227093768
1,S 22,3,0.8295963952573445,0.004266911331916768,0.12920248180899965,0.01048160535117057,12.326592872013688
1,S 22,4,0.7044164912555938,0.0007853420325910165,0.06709541772308453,0.007895694360218315,8.497722260012779
1,S 22,5,0.7666626994069657,0.0027949131381341478,0.14126110527075217,0.010100221075902728,13.985941912477069
1,S 22,6,0.7614822643054143,0.002189967882429176,0.10974378001772721,0.009697632058287798,11.316554325644672
1,S 22,7,0.8041208254667449,0.0024055311704309123,0.09984952486962258,0.00921350451735616,10.837301341908354
1,S 51,0,0.8547940686572258,0.00279902287116603,0.17046760631540742,0.012665168539325845,13.459560825116448
1,S 51,1,0.7405737488887372,0.0005789262548151967,0.09648539108341903,0.009550898203592815,10.102232169862683
1,S 51,2,0.8068519692624418,0.0018944129503033406,0.18317101203798924,0.013122426868905744,13.958623192789306
1,S 51,3,0.8201867529871281,0.0012627037723028833,0.11929102897586352,0.010270833333333335,11.614542374931947
1,S 51,4,0.6884340002732293,0.0002791083162317944,0.0678119895953058,0.008227522935779816,8.242090617627488
1,S 51,5,0.766092695619348,0.0010069748816354076,0.137620228661303,0.010411899313501146,13.217591192305365
