subject,task,ctrl,cong,cost,kl,rt
1,S 21,H,C,0.031125931492052318,0.018803881586895745,0.9319466666666667
1,S 22,H,I,0.05741883526585506,0.03471880740612817,0.905972602739726
1,S 51,M,C,0.038370043043826706,0.022965145232389066,0.9127567567567568
1,S 52,M,I,0.055880853016265296,0.03368985702108116,1.0236756756756755
1,S 71,L,C,0.029107021143441044,0.017538896925265217,0.884310502283105
1,S 72,L,I,0.06476042173405074,0.03895638942517911,1.0599466666666668
2,S 21,H,C,0.013129875813505042,0.007805034229061068,0.8599466666666667
2,S 22,H,I,0.008790527957150018,0.0051566759059278044,0.8753607305936073
2,S 51,M,C,0.01167472882188934,0.007018103172341691,0.8584864864864865
2,S 52,M,I,0.009559933804236368,0.0056116660329856155,0.9287567567567567
2,S 71,L,C,0.014179194382919633,0.008718165644958722,0.7968219178082192
2,S 72,L,I,0.007128082840781931,0.004383176341138051,0.8981333333333333
3,S 21,H,C,0.05675952993141372,0.032770041184408016,0.8386133333333333
3,S 22,H,I,0.08097954616446183,0.046931509176822594,0.9251141552511416
3,S 51,M,C,0.08858098058295744,0.051848742544729515,0.9161081081081082
3,S 52,M,I,0.09797812871977722,0.056979399531211214,0.9712432432432432
3,S 71,L,C,0.07564907201556892,0.04356192763517544,0.8639269406392694
3,S 72,L,I,0.09692692357211027,0.05625475774286044,1.0977066666666666
4,S 21,H,C,0.02593861919286707,0.016017913217844328,0.7727999999999999
4,S 22,H,I,0.03873547368567576,0.02276525981955414,0.8157442922374429
4,S 51,M,C,0.0191582447225761,0.011285545104721606,0.7785945945945946
4,S 52,M,I,0.047092224285832054,0.027703652231827733,0.9843243243243244
4,S 71,L,C,0.022724157430026294,0.01374664134645397,0.695269406392694
4,S 72,L,I,0.043504145820111334,0.02544078271478039,0.9127466666666667
5,S 21,H,C,0.026666323509794383,0.013793207524058944,0.8881066666666667
5,S 22,H,I,0.014905664661034742,0.007531299515803263,0.9164566210045662
5,S 51,M,C,0.03228247034487575,0.015980912719435476,0.8994594594594595
