subject,task,microstate,mean_corr,gev,timecov,meandurs,occurrences,state_name
1,REST,0,0.8707351507418527,0.0240840490408221,0.1780769173811956,0.0123270117888262,14.446073422482858,C
1,REST,1,0.7786058567187564,0.0077766245315558,0.1375745997897137,0.0106445144657691,12.924459845691352,A
1,REST,2,0.7861149282073239,0.0071486514081258,0.1373228486383224,0.0101733406472846,13.498304381950923,F
1,REST,3,0.8083803203567074,0.013150497816296,0.1811275489804078,0.0118345428156748,15.304989115464926,D
1,REST,4,0.6848762104052151,0.0028497701530044,0.1008189316865846,0.0088444300097434,11.399144046085269,E
1,REST,5,0.7301740183768327,0.0049454204587555,0.1395589912183275,0.0096065239551478,14.527522324403574,G
1,REST,6,0.791965342049507,0.0083521575449287,0.1255201623054481,0.0103460482148306,12.132184163371688,B
1,S 21,0,0.8662273512082482,0.0030197816034289,0.1782977478794969,0.0118025169409486,15.106756361509214,C
1,S 21,1,0.7682043040617125,0.0009464032290193,0.123076923076923,0.0097860465116279,12.576776835331968,A
1,S 21,2,0.8171848391339469,0.002297996388692,0.1958467388125182,0.0121745454545454,16.08657502193624,F
1,S 21,3,0.7991150416639323,0.0012903732235407,0.1396314711904065,0.0099874476987447,13.980696109973676,D
1,S 21,4,0.6748001919797605,0.0003586875663103,0.0926001754899093,0.0085336927223719,10.851126060251536,E
1,S 21,5,0.7403075370711094,0.0009739662929779,0.1563615092132202,0.0101731684110371,15.369991225504531,G
1,S 21,6,0.7849405521068963,0.0009797518368521,0.1141854343375256,0.0097235367372353,11.743199766013454,B
1,S 22,0,0.8675614594611344,0.0073268280742642,0.1578936508264036,0.0116027293404094,13.608319749086933,C
1,S 22,1,0.7618195566446168,0.0024172116483227,0.1206074737428553,0.0096611570247933,12.483750490064589,A
1,S 22,2,0.8220719920908749,0.0074877788744299,0.2206425520500175,0.0134165621079046,16.445535769556155,F
1,S 22,3,0.7905239623858328,0.0033329173996639,0.1377545756556548,0.0101884776802747,13.52062398118152,D
1,S 22,4,0.6680062411302397,0.0008137469503565,0.0818562614778284,0.0079102691924227,10.34810061283866,E
1,S 22,5,0.7469109320087681,0.0031462313131764,0.1687266574500134,0.010568012924071,15.965788333367724,G
1,S 22,6,0.7839799262326066,0.0028262200912202,0.1125188287972267,0.0095834797891036,11.740915750159916,B
1,S 51,0,0.8655909648625143,0.0028616791664315,0.1657686020463764,0.0126612716763005,13.09257129018587,C
1,S 51,1,0.7565575149692891,0.0008337165150395,0.1214506266271114,0.0105578947368421,11.503299630683538,A
1,S 51,2,0.8112398655270976,0.0021803406304765,0.2015499182660289,0.0131062992125984,15.378095295755887,F
1,S 51,3,0.7927295457102909,0.0012702868321906,0.1468789731791487,0.0111156930126002,13.213658654719382,D
1,S 51,4,0.6546506829980987,0.0003056563462014,0.0840951746685233,0.0084566210045662,9.944299812314586,E
1,S 51,5,0.745609831369337,0.0011293007364938,0.1681903493370466,0.0111903323262839,15.029969122722044,G
1,S 51,6,0.7698565287277527,0.0008538417283155,0.1120663558757643,0.0103119777158774,10.867590966882606,B
1,S 52,0,0.860359658620119,0.0029307756834679,0.166891490854152,0.0123473053892215,13.516430151621432,C
1,S 52,1,0.7597574092794825,0.0008816179554671,0.1122322343927049,0.0096744186046511,11.60092807424594,A
1,S 52,2,0.8152581547489816,0.0026180351672742,0.2063346463065882,0.0133240418118466,15.485890033993416,F
1,S 52,3,0.7892206833344677,0.0014034772051296,0.1428263098257162,0.010705763397371,13.341067285382833,D
1,S 52,4,0.6617971953944077,0.0003092445342266,0.0767819565100091,0.0086111951588502,8.916527275670425,E
1,S 52,5,0.7477053309651279,0.0014680390576889,0.1864781740678789,0.0119275237273511,15.634273997733771,G
1,S 52,6,0.7746700522713859,0.0010010640634002,0.1084551880429504,0.0104960835509138,10.33291965682836,B
1,S 71,0,0.8707735868565402,0.0091099208295013,0.1734096718990979,0.0130700636942675,13.267699068303298,C
1,S 71,1,0.7721813558656934,0.0029437433983053,0.122409312741639,0.0103556747095621,11.820505778209704,A
1,S 71,2,0.8151582335597191,0.0062187888587566,0.1895717575475883,0.0128553008595988,14.74658272241354,F
1,S 71,3,0.8020257967169884,0.0044203173246551,0.152536285466799,0.0110355368742835,13.822280438594635,D
1,S 71,4,0.6707226568407392,0.0008997270586562,0.080451270783597,0.0084154696132596,9.559926478355482,E
1,S 71,5,0.7511574992188226,0.0033992761514981,0.1674096296452792,0.0111841919548341,14.968415270530077,G
1,S 71,6,0.7812695718698102,0.0028355774430795,0.1142120719159994,0.010185586434291,11.213107134557283,B
1,S 72,0,0.8654029513292067,0.0031148518966664,0.156397617580612,0.0120039408866995,13.028856027931813,C
1,S 72,1,0.7622872823817377,0.0010589904074845,0.1216882316697473,0.0101173959445037,12.027623742041486,A
1,S 72,2,0.8172498420222751,0.0032137060404254,0.2231977818853974,0.0136269592476489,16.379133292257137,F
1,S 72,3,0.7968926047296918,0.0016408541911647,0.1405319367426576,0.0102701688555347,13.683507907167796,D
1,S 72,4,0.6705741558142477,0.0003715648539374,0.0795337851714931,0.0084876712328767,9.370507291024852,E
1,S 72,5,0.7570761019773491,0.0015816696317397,0.1762682275621277,0.0111642276422764,15.788662969808996,G
1,S 72,6,0.790348781658363,0.0011438044925207,0.1023824193879646,0.0097985257985257,10.448757445060586,B
2,REST,0,0.8584976355872683,0.0068658215602937,0.1182340442275911,0.0105394598386531,11.21822617454946,C
2,REST,1,0.7837510979784755,0.0050737069208364,0.1326040764932714,0.0106780735107731,12.418352089399544,A
