subject,task,ent_rate
1,REST,1.5504916962785575
1,S 21,1.3052738615673234
1,S 22,1.4685137071913041
1,S 51,1.289300051439454
1,S 52,1.299717750263564
1,S 71,1.439998895011172
1,S 72,1.3104383479350632
2,REST,1.525074772434619
2,S 21,1.255138593415615
2,S 22,1.3910595252403075
2,S 51,1.240795743562643
2,S 52,1.2672528684760045
2,S 71,1.3795639889379023
2,S 72,1.249105292581671
3,REST,1.5342593800500004
3,S 21,1.2771411516667501
3,S 22,1.453069219179913
3,S 51,1.2598839406084306
3,S 52,1.2829992443624978
3,S 71,1.4298015854935033
3,S 72,1.3021736931119057
4,REST,1.555458362902639
4,S 21,1.2225975796724795
4,S 22,1.367318813387542
4,S 51,1.229851931813441
4,S 52,1.2566436248336528
4,S 71,1.3507118728362353
4,S 72,1.242110827350258
5,REST,1.476248246209799
5,S 21,1.213802170160115
5,S 22,1.345729920696698
5,S 51,1.2179997104175404
5,S 52,1.2072050414244604
5,S 71,1.3514708224902576
5,S 72,1.2370980307260317
6,REST,1.523558916217325
6,S 21,1.201751900657648
6,S 22,1.3248871815370746
6,S 51,1.2599420334861664
6,S 52,1.284251303953327
6,S 71,1.369365168006444
6,S 72,1.252201593813253
7,REST,1.5980851601631023
7,S 21,1.2650003387492914
7,S 22,1.424426906866929
7,S 51,1.282803390453104
7,S 52,1.2823601755997904
7,S 71,1.4475097526674832
7,S 72,1.2867430244660307
8,REST,1.5570416901967277
8,S 21,1.3050134403696754
8,S 22,1.4584674336881351
8,S 51,1.303243211966811
8,S 52,1.3223775360377212
8,S 71,1.4554363421707293
8,S 72,1.3175276752930007
9,REST,1.4958541772700626
9,S 21,1.3222783001198746
9,S 22,1.4558144486732447
9,S 51,1.3044831341233178
9,S 52,1.317908450138984
9,S 71,1.4491309509297192
9,S 72,1.3294530161342115
10,REST,1.5359650110758054
10,S 21,1.30792242000037
10,S 22,1.450633577113013
10,S 51,1.2916137628805013
10,S 52,1.314420921775774
10,S 71,1.433337285000895
10,S 72,1.312221584590032
11,REST,1.5587045170464395
11,S 21,1.2427162451509637
11,S 22,1.418697204054778
11,S 51,1.229355080014977
11,S 52,1.2448720669773625
11,S 71,1.4287877438236614
11,S 72,1.3064848364749564
12,REST,1.421443566993772
12,S 21,1.1875787086822926
12,S 22,1.342709157097447
12,S 51,1.1927239020352254
12,S 52,1.2296244306771722
12,S 71,1.3870690327818123
12,S 72,1.274267766118104
13,REST,1.6424000970551877
13,S 21,1.2850896862047347
13,S 22,1.4779952825564109
13,S 51,1.2776851533813798
13,S 52,1.2788624046676242
13,S 71,1.4531838620513318
13,S 72,1.3118110205030453
14,REST,1.4683816613273186
14,S 21,1.2603787310493806
14,S 22,1.4198112686891378
14,S 51,1.2579295560208483
14,S 52,1.2659664832511266
14,S 71,1.405402970017061
14,S 72,1.2690819650287268
15,REST,1.5031737052680654
15,S 21,1.2444599038294406
15,S 22,1.4020597626794669
15,S 51,1.2464485212651384
15,S 52,1.2466683900856026
15,S 71,1.4066198343269207
15,S 72,1.2506014516913393
16,REST,1.4846926486895915
16,S 21,1.2694980788049444
16,S 22,1.3952871262432467
16,S 51,1.2281818434041039
16,S 52,1.249721958735516
16,S 71,1.3805106884046698
16,S 72,1.2621451383913271
17,REST,1.5334675713215264
17,S 21,1.3152100206248163
17,S 22,1.491385661100311
17,S 51,1.3025899656656672
17,S 52,1.3287042469636838
17,S 71,1.4442459017496085
17,S 72,1.3321521086282835
18,REST,1.4042127944189522
18,S 21,1.2059903485331087
18,S 22,1.3444934893706217
18,S 51,1.2133143838507294
18,S 52,1.2371174540801957
18,S 71,1.2930804554200652
18,S 72,1.1932575133786083
19,REST,1.5291561067488026
19,S 21,1.3039324976567717
19,S 22,1.472506252877979
19,S 51,1.3045626986792513
19,S 52,1.3138837014774194
19,S 71,1.428295807501525
19,S 72,1.3255361248237947
20,REST,1.566737437078708
20,S 21,1.3104462244298318
20,S 22,1.4557833117180166
20,S 51,1.3121261587790745
20,S 52,1.3271920586369392
20,S 71,1.5013802013027713
20,S 72,1.3465661424103905
21,REST,1.4722593602718845
21,S 21,1.2331156388865374
21,S 22,1.381390776343849
21,S 51,1.2125238116124004
21,S 52,1.2307196490581378
21,S 71,1.37812358814092
21,S 72,1.2280617284897055
22,REST,1.5256028407646187
22,S 21,1.3148984709443465
22,S 22,1.4706321650511311
22,S 51,1.3269662716252248
22,S 52,1.3385373868700396
22,S 71,1.471782454461983
22,S 72,1.3352548943983729
23,REST,1.4895272428706197
23,S 21,1.298938128828655
23,S 22,1.42529109429986
23,S 51,1.2679777059984385
23,S 52,1.2658228478212623
23,S 71,1.4044699937605798
23,S 72,1.2596555438716306
24,REST,1.5012075177213466
24,S 21,1.3124736915173778
24,S 22,1.4422509913922998
24,S 51,1.274381394717164
24,S 52,1.2699978810466732
24,S 71,1.418234795321833
24,S 72,1.2836214349800878
25,REST,1.5289711332103089
25,S 21,1.2876374747023775
25,S 22,1.451034594658665
25,S 51,1.2856933458230888
25,S 52,1.2875169581273511
25,S 71,1.4300472659703374
25,S 72,1.3031812509982625
26,REST,1.4424120384867634
26,S 21,1.2617394285359933
26,S 22,1.403237125800515
26,S 51,1.260605662813226
26,S 52,1.2729007637808087
26,S 71,1.4024280632697368
26,S 72,1.2610813715793632
27,REST,1.535748937900061
27,S 21,1.2714797763135843
27,S 22,1.398319390474484
27,S 51,1.2872528213042214
27,S 52,1.2824041446497467
27,S 71,1.4314363497285072
27,S 72,1.2613196953828567
28,REST,1.5552396084899838
28,S 21,1.2065172814309204
28,S 22,1.3541942821681043
28,S 51,1.24678168294567
28,S 52,1.2309436414017842
28,S 71,1.3512611047175436
28,S 72,1.2201016723762987
29,REST,1.4857593479427964
29,S 21,1.2660607270472422
29,S 22,1.419099698755011
29,S 51,1.2451143496513035
29,S 52,1.2350685406648796
29,S 71,1.3600309032893456
29,S 72,1.2571301149178766
30,REST,1.5356774806453464
30,S 21,1.264590328293248
30,S 22,1.3767959933956073
30,S 51,1.2382138677231525
30,S 52,1.2359757514141625
30,S 71,1.3867806908859248
30,S 72,1.2581234284811846
31,REST,1.503826274227177
31,S 21,1.2623129780833398
31,S 22,1.4152245038735636
31,S 51,1.2636744215740427
31,S 52,1.2789806612345591
31,S 71,1.3825961239685767
31,S 72,1.2746185574676068
32,REST,1.4115299869574183
32,S 21,1.2632700894886129
32,S 22,1.4065683797473731
32,S 51,1.2704218304232524
32,S 52,1.2962617585987626
32,S 71,1.406734451796334
32,S 72,1.2723639663575144
33,REST,1.5543667966236066
33,S 21,1.25983448959669
33,S 22,1.4193883366743916
33,S 51,1.2460040857674834
33,S 52,1.2552482481169627
33,S 71,1.4279814060053375
33,S 72,1.2594476761272235
34,REST,1.4652142206240801
34,S 21,1.216182623218804
34,S 22,1.3563597910955474
34,S 51,1.2618832801404067
34,S 52,1.2526471305967912
34,S 71,1.3266061650426093
34,S 72,1.1817002951831919
35,REST,1.502742287606509
35,S 21,1.3064559609280813
35,S 22,1.4677096222790944
35,S 51,1.2990630063675643
35,S 52,1.305960521467046
35,S 71,1.4730376341485778
35,S 72,1.324801963684834
36,REST,1.5217308583113993
36,S 21,1.3030116065722546
36,S 22,1.4573834336687461
36,S 51,1.3076252594628797
36,S 52,1.3069911630742672
36,S 71,1.4384693849018122
36,S 72,1.30521868852363
37,REST,1.3973658521004155
37,S 21,1.2202995945783364
37,S 22,1.3524852428884755
37,S 51,1.2487340059789367
37,S 52,1.2499431354339452
37,S 71,1.3754377434970777
37,S 72,1.2441638050899726
38,REST,1.4905167799324603
38,S 21,1.314461262184927
38,S 22,1.4528854268801086
38,S 51,1.2803023965283127
38,S 52,1.2849660001261811
