subject,task,ent_rate
1,REST,1.0114171585852223
1,S 21,0.981233504047847
1,S 22,0.9798840886796913
1,S 51,0.9246888832882096
1,S 52,0.9383966444515193
1,S 71,0.957323449188413
1,S 72,0.9364681628128755
2,REST,0.9754134747314684
2,S 21,0.8911237764344346
2,S 22,0.8829951747161061
2,S 51,0.868811018625546
2,S 52,0.8960889113858993
2,S 71,0.8842751256349001
2,S 72,0.8699342703108486
3,REST,0.9712746632763039
3,S 21,0.9035329396789258
3,S 22,0.918977303393135
3,S 51,0.8432468456092197
3,S 52,0.8655389350177217
3,S 71,0.9041286358691392
3,S 72,0.883383775559753
4,REST,1.0013291051986177
4,S 21,0.8605310522243976
4,S 22,0.8635562765558653
4,S 51,0.8433153341322447
4,S 52,0.8407987581197567
4,S 71,0.8639180664972016
4,S 72,0.8279328940526381
5,REST,0.8905101026719248
5,S 21,0.8083480754076171
5,S 22,0.8333453750475307
5,S 51,0.8124074016118079
5,S 52,0.8097998150469431
5,S 71,0.8330482308143072
5,S 72,0.8261717085117869
6,REST,0.9526058414814413
6,S 21,0.7920806937962186
6,S 22,0.8098044203083855
6,S 51,0.8744691358435274
6,S 52,0.8750993569001584
6,S 71,0.8658025556328479
6,S 72,0.8355949597517288
7,REST,1.0334592522235706
7,S 21,0.8710684446667871
7,S 22,0.8982111092143021
7,S 51,0.8794379419657697
7,S 52,0.9027727142206432
7,S 71,0.9403471759046973
7,S 72,0.9220404794223627
8,REST,0.9899604069532295
8,S 21,0.9258120431643813
8,S 22,0.9326136252194893
8,S 51,0.9387063075516453
8,S 52,0.9387849535700629
8,S 71,0.9230169324676583
8,S 72,0.9148009460502223
9,REST,0.9220720820569669
9,S 21,0.8980317018656799
9,S 22,0.8918231739877135
9,S 51,0.8819987230883212
9,S 52,0.8894483533540083
9,S 71,0.90507305627059
9,S 72,0.89028838838816
10,REST,0.9776312062955439
10,S 21,0.9077630007656383
10,S 22,0.9183048796203738
10,S 51,0.9192410166090537
10,S 52,0.9188556535686905
10,S 71,0.9227458976361121
10,S 72,0.9190539414724846
11,REST,1.0242544975625278
11,S 21,0.9255946855372323
11,S 22,0.9460493916251764
11,S 51,0.9053492558212284
11,S 52,0.9020869709758667
11,S 71,0.9856400143996306
11,S 72,0.9622331684361405
12,REST,0.8698724720414083
12,S 21,0.7572416351686441
12,S 22,0.7891948744286819
12,S 51,0.7649276681403258
12,S 52,0.790465580689427
12,S 71,0.846198134945815
12,S 72,0.8305521742017603
13,REST,1.0709616368536314
13,S 21,0.9639201655236252
13,S 22,0.9804347139963068
13,S 51,0.9311811255006917
13,S 52,0.9269081212941811
13,S 71,0.9565483858863144
13,S 72,0.949879494679989
14,REST,0.9001598530424072
14,S 21,0.8567003370006254
14,S 22,0.8785323232431494
14,S 51,0.8552689477045898
14,S 52,0.8519660028329633
14,S 71,0.8723522576560263
14,S 72,0.8523223255883591
15,REST,0.9216842150319001
15,S 21,0.8726663317342175
15,S 22,0.891408292543196
15,S 51,0.8620610000387777
15,S 52,0.8347444347726012
15,S 71,0.9019113891759699
