subject,task,microstate,mean_corr,gev,timecov,meandurs,occurrences
1,REST,0,0.6968752390143959,0.028085991992602196,0.2949170124481328,0.12265639445300465,2.4044161232957917
1,REST,1,0.5874425337048977,0.006290754569574272,0.18857439241256668,0.09941406250000001,1.896858328393598
1,REST,2,0.5631742501020418,0.004422907349970797,0.13120924718435092,0.09198961038961039,1.4263485477178421
1,REST,3,0.5999253139041645,0.010666688744291372,0.26087729697688206,0.10734146341463414,2.430349733254298
1,REST,4,0.6077650703414003,0.005468528952223314,0.12442205097806758,0.0854554707379135,1.4559869590989922
1,S 21,0,0.7118214997382726,0.0028716072716153257,0.28235799727813193,0.10305882352941176,2.739775087744431
1,S 21,1,0.6482327571056448,0.002158686768237731,0.3101497027433565,0.11102564102564103,2.7934961678962824
1,S 21,2,0.5407464310271035,0.00029530703753890284,0.09705608480767854,0.07131578947368421,1.3609340305135735
1,S 21,3,0.6191886485091985,0.0010870557907611254,0.2065038321037175,0.09080314960629922,2.2741923930950505
1,S 21,4,0.6096373406166818,0.0005284680031533468,0.10393238306711554,0.07255,1.432562137382709
1,S 22,0,0.7106874015782405,0.006388844369026504,0.23090495307745418,0.09530343007915569,2.4228399007850254
1,S 22,1,0.6511514352581355,0.00751420568023697,0.3756105045132585,0.11918052738336715,3.151609686245429
1,S 22,2,0.5686088457980971,0.000795351978527266,0.08456286598307208,0.07558857142857142,1.1187255478558824
1,S 22,3,0.6049783241560737,0.0029167879790911043,0.20863272559899762,0.08941369863013697,2.3333418569565554
1,S 22,4,0.6046300757766383,0.001362081080761403,0.10028895082721763,0.07506220095693779,1.3360779400107399
1,S 51,0,0.7199303331908152,0.002654521589941589,0.25226470136649776,0.09808955223880596,2.571779517887302
1,S 51,1,0.648937139402212,0.0018210629011042915,0.29617687701520035,0.10497959183673469,2.8212805158912944
1,S 51,2,0.55753996945404,0.00029934936983863245,0.09281437125748503,0.07440000000000001,1.2475049900199602
1,S 51,3,0.6195921876625792,0.001160964052420786,0.24343620451404882,0.09609090909090909,2.533394748963611
1,S 51,4,0.5979864536193881,0.0005431139215859343,0.11530784584676801,0.08010666666666667,1.4394288346384154
1,S 52,0,0.7177743362154568,0.0025444241863543117,0.23861070527294462,0.089825,2.6563952716164168
