subject,task,microstate,mean_corr,gev,timecov,meandurs,occurrences
1,REST,0,0.6179234509433462,0.01188176856394873,0.2408515807875789,0.1060815660685155,2.2704376425968174
1,REST,1,0.5781268893956988,0.0063664251798415,0.19922071765089336,0.099239852398524,2.0074668879077895
1,REST,2,0.5922189994265858,0.010349927407898108,0.2290290082669116,0.10534241908006814,2.1741384929923853
1,REST,3,0.6569189538374158,0.025531624955984804,0.33089869329461613,0.12744650499286733,2.5963732258733594
1,S 21,0,0.6534799340469153,0.002929409715526283,0.385806916426513,0.1275,3.0259365994236314
1,S 21,1,0.6184279710453814,0.0008659571838200437,0.1819164265129683,0.08347107438016528,2.1793948126801155
1,S 21,2,0.584865043342275,0.0007156525554515045,0.15410662824207494,0.08148571428571431,1.8912103746397695
1,S 21,3,0.6696258287149301,0.002272262467720933,0.2781700288184438,0.096525,2.881844380403458
1,S 22,0,0.6623031843833551,0.008998344938351215,0.4186452791233225,0.1272917505030181,3.288864183805818
1,S 22,1,0.5972658183018545,0.002463138692666086,0.2038434050663067,0.08851724137931036,2.3028666719606132
1,S 22,2,0.5986254545345162,0.0016778121599370654,0.14044839725773578,0.08194594594594597,1.7139151380396516
1,S 22,3,0.6625020955098723,0.004970347851782354,0.23706291855263506,0.09001005025125627,2.6337383202308158
1,S 51,0,0.6631039862192994,0.0026426370884191893,0.3684414477253352,0.1173827160493827,3.138804929086259
1,S 51,1,0.6027959599664924,0.0010037854324211986,0.22754398201968534,0.09626229508196721,2.3637913663489107
1,S 51,2,0.6034483305451871,0.0006962721954814406,0.15097264202123536,0.07714851485148515,1.9569092459118036
1,S 51,3,0.656918384266727,0.0020028819975737443,0.2530419282337441,0.09328571428571428,2.7125474695807177
1,S 52,0,0.6666940063038865,0.0035354511456702643,0.4122603330458436,0.12366169154228857,3.3337756252902544
1,S 52,1,0.6006133486383393,0.0011574439216754796,0.23512240429907783,0.09450666666666666,2.487892257679294
1,S 52,2,0.6035947093855688,0.0006330479960493798,0.12048032906521595,0.07566666666666667,1.5922510449147482
1,S 52,3,0.663697046259169,0.0019935842076565444,0.23213693358986268,0.09029677419354838,2.5708219996019372
1,S 71,0,0.6686100428478488,0.008106365584560854,0.35797665369649806,0.11118297872340425,3.2197073491532855
1,S 71,1,0.6191985599026149,0.0034397287877853434,0.23776511207321752,0.09483060109289618,2.5072614676385157
1,S 71,2,0.6275432727099648,0.0024355377794667197,0.15092891982243656,0.0822089552238806,1.8359182331342139
1,S 71,3,0.6715426747671565,0.006086413280920031,0.25332931440784784,0.09108374384236452,2.781279114374966
1,S 72,0,0.6706864982632641,0.0037913635850355563,0.4092149520847877,0.1245990338164251,3.284254616995621
1,S 72,1,0.6240360500768861,0.0014342358768173681,0.22973916354636034,0.0851764705882353,2.6972139366630703
1,S 72,2,0.6084478127676982,0.000768467840624477,0.1279431363838294,0.07680000000000001,1.665926254997779
1,S 72,3,0.6784118316951736,0.0024893443145316057,0.23310274798502253,0.08797604790419161,2.649616043663134
2,REST,0,0.6317078146870124,0.01256675310126896,0.3708696884745015,0.11774000000000001,3.149903927930198
2,REST,1,0.5977804648101345,0.006025038940479846,0.2531892777270293,0.10158609794628752,2.4923614829747693
2,REST,2,0.5807993423336274,0.004555145211246964,0.17773332913346143,0.09028,1.9686899549563739
2,REST,3,0.6371648511403558,0.0065637243360872335,0.19820770466500773,0.09186131386861314,2.1576841906321858
2,S 21,0,0.6555197360959382,0.0023440671334992863,0.2767336357744653,0.09232432432432432,2.9974076474400517
2,S 21,1,0.6278714643224566,0.0018462725013471423,0.29633830200907324,0.10021917808219179,2.9569021386908623
2,S 21,2,0.5653872067396941,0.0005563578699909312,0.12880751782242386,0.0795,1.6202203499675956
2,S 21,3,0.6756081390322558,0.0028507658413956713,0.29812054439403757,0.09879194630872483,3.0176604018146467
2,S 22,0,0.6716011573044057,0.008947063212625544,0.34555299851089755,0.10526185567010311,3.2827940977392718
2,S 22,1,0.6285715009254444,0.004376370946095011,0.24591850548260458,0.08993069306930696,2.734533640178692
2,S 22,2,0.5919859343214935,0.0020388147779334064,0.1410586164884256,0.07747211895910781,1.82076621091106
2,S 22,3,0.6899439996729468,0.007955157901153894,0.2674698795180723,0.09544927536231884,2.802220116420739
2,S 51,0,0.6612814898785556,0.0028500893619964915,0.3528969777926198,0.10373006134969326,3.40207046251461
2,S 51,1,0.6293159710732834,0.001389281364491068,0.2430288862915345,0.08956923076923078,2.7133077308398734
2,S 51,2,0.5897942838226686,0.0006193094626134779,0.12030389046585406,0.07389743589743587,1.6279846385039238
2,S 51,3,0.6998703417439781,0.002707033168053668,0.28377024544999163,0.08944736842105264,3.1724828852896976
2,S 52,0,0.6631913008805541,0.0036111618454149263,0.3640337654507085,0.10977272727272727,3.316249623153452
2,S 52,1,0.6171971824647627,0.0016798003540674257,0.25716008441362675,0.09818705035971223,2.6190835091950557
2,S 52,2,0.5686684071445368,0.0006630044722047201,0.14101597829363882,0.07559595959595959,1.8653904130238168
2,S 52,3,0.6879306773953618,0.002569256573951083,0.23779017184202592,0.09348148148148148,2.5437141995779315
2,S 71,0,0.6622722446937855,0.007370003088187587,0.34975851317478757,0.0997124183006536,3.507672556092193
2,S 71,1,0.6389574794009929,0.004268742849478704,0.2512380020786208,0.09183240223463689,2.735831753989118
2,S 71,2,0.5846627612541838,0.001380257161458363,0.104389557987406,0.07423913043478261,1.406125817692731
2,S 71,3,0.6908406624767914,0.007192598616693341,0.2946139267591857,0.0920095465393795,3.2019930305068165
2,S 72,0,0.683036466549787,0.003987325290512503,0.38439524024702515,0.10633333333333335,3.6150022593764124
2,S 72,1,0.6231294726899638,0.001671199596902483,0.26525079078174424,0.09583673469387756,2.7677361048350653
2,S 72,2,0.5993916746523598,0.0006486705582072977,0.11952101220063263,0.07053333333333334,1.6945323090826931
2,S 72,3,0.6845376476176461,0.0025565300565071475,0.23083295677059798,0.08397260273972601,2.74890796806748
3,REST,0,0.655538856865771,0.02180832161121101,0.3535274900952249,0.1422713286713287,2.484882185306179
3,REST,1,0.5939250521179936,0.003062957766958164,0.15149788003058318,0.09025258799171844,1.6785987349690692
3,REST,2,0.585878039652081,0.004161968249980257,0.162243692222145,0.09393158953722335,1.7272537707652742
3,REST,3,0.6747638076651771,0.019913555061521454,0.332730937652047,0.12401554404145079,2.682977688190728
3,S 21,0,0.6454427719510921,0.0012672950983444785,0.26651595076613915,0.09361764705882353,2.8468558988528847
3,S 21,1,0.6231993263203377,0.0013090231065467045,0.27170727622875324,0.09271428571428571,2.9305869547014987
3,S 21,2,0.5957357041058104,0.0009400065880898386,0.22883697563426275,0.08816129032258065,2.5956627313070415
3,S 21,3,0.6795900161310783,0.0014387151048769128,0.23293979737084486,0.08430303030303031,2.7631248430042703
3,S 22,0,0.6236809589518187,0.003206660578129987,0.24074074074074073,0.09090647482014388,2.6482243560432863
3,S 22,1,0.6176212692605062,0.003356320012704602,0.2534674592287761,0.08968988764044945,2.8260427780318045
3,S 22,2,0.5979945444301169,0.003156384541082771,0.262002743484225,0.08541614906832298,3.0673677793019354
3,S 22,3,0.6622711914422952,0.004016441427531561,0.24378905654625818,0.08626516853932585,2.8260427780318045
3,S 51,0,0.6529008771833757,0.0010994837253935946,0.2167203042715038,0.08714705882352941,2.4868344060854297
3,S 51,1,0.6468433887923968,0.0013965760734030077,0.2690901111761264,0.09373248407643313,2.870830895260386
3,S 51,2,0.5901663721015658,0.0011091898813346578,0.2845231129315389,0.08942528735632183,3.181685196021065
3,S 51,3,0.6867522549115107,0.0014786932352245708,0.2296664716208309,0.08373333333333333,2.7428320655354006
3,S 52,0,0.6465446522193622,0.0013297758052641046,0.24602177554438862,0.09038461538461538,2.721943048576214
3,S 52,1,0.6306806249591212,0.0013682809946071453,0.2945281965382468,0.09871345029239767,2.9836683417085426
3,S 52,2,0.6072044365077838,0.0009865750667116704,0.23897264098269122,0.08506832298136646,2.8091848129536574
3,S 52,3,0.6765338510842297,0.0013004168653558083,0.22047738693467336,0.09156521739130435,2.4078726968174204
3,S 71,0,0.6356806068282047,0.0036957160195360533,0.27942692787757095,0.09557308584686774,2.923698920062951
3,S 71,1,0.6163028251849444,0.002974448880294318,0.253432463233299,0.09458227848101268,2.679492049709665
3,S 71,2,0.5927532569236064,0.0027286196677237676,0.24293156780810768,0.08692233009708739,2.794811960709828
3,S 71,3,0.6644755326343722,0.0033943914527959965,0.2242090410810224,0.08453196930946291,2.6523579530037447
3,S 72,0,0.631984435001224,0.0014008260652065862,0.24722388059701492,0.09411363636363636,2.626865671641791
3,S 72,1,0.6290832994859007,0.0020009217443607884,0.3074626865671642,0.09671361502347418,3.1791044776119404
3,S 72,2,0.5896658067620971,0.0010177991591824322,0.2253134328358209,0.08249180327868852,2.7313432835820897
3,S 72,3,0.6761979941466395,0.001548927362894349,0.22,0.09042944785276075,2.4328358208955225
4,REST,0,0.602563175367768,0.012174536530251554,0.32955329993977406,0.1127386934673367,2.923160538801651
4,REST,1,0.5481650795062211,0.003122450459392231,0.13771170880032904,0.08333333333333333,1.6525405056039486
4,REST,2,0.5613195818425549,0.00711629626892786,0.2439002893782041,0.10249382716049385,2.3796583280696857
4,REST,3,0.6247210398100042,0.012310571619205258,0.2888347018816928,0.10600000000000002,2.7248556781291775
4,S 21,0,0.6671281789024238,0.0030695527651406875,0.35212048415411623,0.10162666666666667,3.4648433890788133
4,S 21,1,0.5958936176150215,0.0007224124501136106,0.16141550401921834,0.08221176470588236,1.9634112538113278
4,S 21,2,0.5844033778282143,0.0006371829431771568,0.1386861313868613,0.07599999999999997,1.8248175182481752
4,S 21,3,0.6566630885628979,0.0025343270109813004,0.3477778804398041,0.09970860927152318,3.487942345006006
4,S 22,0,0.6685379498117529,0.009560368853557957,0.39206696639848554,0.11551198257080611,3.394167061050639
4,S 22,1,0.5944963354320563,0.003124779589811729,0.22553833412210128,0.08714285714285715,2.5881448177946047
4,S 22,2,0.5657796436851873,0.0012986253381434833,0.1155052058684335,0.07265116279069767,1.5898603880738287
4,S 22,3,0.6725046615982196,0.006727466384228044,0.26688949361097963,0.0932609819121447,2.8617486985328915
4,S 51,0,0.6690372248607618,0.003942075946015243,0.39556581986143186,0.1097948717948718,3.602771362586605
4,S 51,1,0.6015975477101214,0.0008646344372200227,0.17533487297921477,0.0799157894736842,2.1939953810623556
