subject,task,ent_rate
1,REST,1.4300708830798203
1,S 21,1.3053832437571165
1,S 22,1.3987857021835828
1,S 51,1.266614948887909
1,S 52,1.2682965232923213
1,S 71,1.3553613394409734
1,S 72,1.2834987099013877
2,REST,1.3859729758468557
2,S 21,1.2144264360155788
2,S 22,1.2764838191738779
2,S 51,1.2041919733436186
2,S 52,1.2295857476593393
2,S 71,1.2625431726873009
2,S 72,1.205672535276724
3,REST,1.386889925180487
3,S 21,1.2456712142151591
3,S 22,1.3431908993492945
3,S 51,1.2094956327829902
3,S 52,1.2263748465435766
3,S 71,1.3296611821809967
3,S 72,1.2416289646918697
4,REST,1.4304428702757481
4,S 21,1.1733234742271998
4,S 22,1.2488113303559898
4,S 51,1.1672694724505974
4,S 52,1.1912626686838164
4,S 71,1.2522044163898776
4,S 72,1.1762470578012094
5,REST,1.3017099357366042
5,S 21,1.1339349758429385
5,S 22,1.2183226515335739
5,S 51,1.1366123059146498
5,S 52,1.1231174229998078
5,S 71,1.223839687358678
5,S 72,1.1641223547181725
6,REST,1.3803491717275265
6,S 21,1.1144293624005637
6,S 22,1.2038600202150727
6,S 51,1.2038691349079236
6,S 52,1.2238828912916588
6,S 71,1.2601915645427801
6,S 72,1.2040912221342646
7,REST,1.4735811220655775
7,S 21,1.2206376905079963
7,S 22,1.3209107724511127
7,S 51,1.2395348312842567
7,S 52,1.2407747863939633
7,S 71,1.375450101669685
7,S 72,1.268954244946663
8,REST,1.4320363891719285
8,S 21,1.281829378416895
8,S 22,1.3613981752936752
8,S 51,1.2762258651577705
8,S 52,1.301084998494435
8,S 71,1.3561170560691997
8,S 72,1.2822655539670504
9,REST,1.3334088966665598
9,S 21,1.2633386000245501
9,S 22,1.3251112148252633
9,S 51,1.2515014239909048
9,S 52,1.2446770911134482
9,S 71,1.3321692758966104
9,S 72,1.2607336962811941
10,REST,1.3941603585899425
10,S 21,1.2615028574613811
10,S 22,1.347482445836684
10,S 51,1.2627565858911056
10,S 52,1.2711354925806082
10,S 71,1.3405971190547916
10,S 72,1.2813080343449024
11,REST,1.436325502679484
11,S 21,1.2100550420791256
11,S 22,1.3269587796971878
11,S 51,1.1868874397786204
11,S 52,1.1852784138459154
11,S 71,1.357898663040063
11,S 72,1.268354319540245
12,REST,1.2491124634081048
12,S 21,1.0882418941471113
12,S 22,1.1926329525800092
12,S 51,1.0893071395480676
12,S 52,1.124951649176961
12,S 71,1.2516035907872005
12,S 72,1.178537984008873
13,REST,1.5386572353999337
13,S 21,1.307138074933617
13,S 22,1.4271347160710983
13,S 51,1.2817304848988655
13,S 52,1.2768295646807621
13,S 71,1.4012498813471002
13,S 72,1.313136154870309
14,REST,1.318214751943706
14,S 21,1.2121228633229457
14,S 22,1.3124758294519026
14,S 51,1.2036028076116927
14,S 52,1.214546934899513
14,S 71,1.2886521571062182
14,S 72,1.2088033375533034
15,REST,1.3576938513922436
15,S 21,1.1772893658481343
15,S 22,1.277680942192906
15,S 51,1.1904640974988174
15,S 52,1.1686897473062903
15,S 71,1.309356927309912
15,S 72,1.17012526983398
16,REST,1.332741664828945
16,S 21,1.1982041051587742
16,S 22,1.2629428973788968
16,S 51,1.161104226603275
16,S 52,1.168801362230717
16,S 71,1.2610869055433889
16,S 72,1.1822286032298293
17,REST,1.387430722613207
17,S 21,1.286160870562047
17,S 22,1.3778306249688903
17,S 51,1.2770112393604056
17,S 52,1.2763365544763878
17,S 71,1.3436094001197219
17,S 72,1.2765678280006478
18,REST,1.2408337752187197
18,S 21,1.1427488080571457
18,S 22,1.217043244417998
18,S 51,1.1696465510655571
