subject,task,ent_rate
1,REST,1.3610730321154911
1,S 21,1.2590578059239244
1,S 22,1.3268254719142796
1,S 51,1.2142363180971896
1,S 52,1.213788398675226
1,S 71,1.2778838306769569
1,S 72,1.2199358928955586
2,REST,1.3146768329066516
2,S 21,1.1530280479829749
2,S 22,1.1978235342167411
2,S 51,1.1310928498124586
2,S 52,1.1565192946506815
2,S 71,1.1855240628410093
2,S 72,1.1316179526452776
3,REST,1.3110068192158675
3,S 21,1.1867644833324815
3,S 22,1.2626607272800685
3,S 51,1.146220551593536
3,S 52,1.1597613695989788
3,S 71,1.2552844204876388
3,S 72,1.1809949804829192
4,REST,1.3666597608631132
4,S 21,1.129292736499532
4,S 22,1.1608681384796171
4,S 51,1.1235585216910393
4,S 52,1.1168361482370028
4,S 71,1.1861549895709336
4,S 72,1.0977950625788235
5,REST,1.225609077533252
5,S 21,1.0859811557019463
5,S 22,1.138947702236613
5,S 51,1.0718480225397617
5,S 52,1.065451329976284
5,S 71,1.145457879360786
5,S 72,1.0940691927515247
6,REST,1.3098479082014631
6,S 21,1.0595991982953517
6,S 22,1.122106625138277
6,S 51,1.1574288882640262
6,S 52,1.1701160246415767
6,S 71,1.1875767606796317
6,S 72,1.1208107663407265
7,REST,1.403620279925534
7,S 21,1.15920263814068
7,S 22,1.2449755845714314
7,S 51,1.1749536945938241
7,S 52,1.182964040195268
7,S 71,1.285396442531086
7,S 72,1.1990953514665006
8,REST,1.3605338513682443
8,S 21,1.2187189779891778
8,S 22,1.271030928734475
8,S 51,1.2216818981178188
8,S 52,1.2350997929155947
8,S 71,1.2710278976747267
8,S 72,1.2140465204686728
9,REST,1.2593961899238495
9,S 21,1.1906897594464323
9,S 22,1.236725976926008
9,S 51,1.174052983727735
9,S 52,1.1752049342255888
9,S 71,1.2516647284083144
9,S 72,1.1960222891977381
10,REST,1.3276534393035015
10,S 21,1.2037531214190909
10,S 22,1.275133179392527
10,S 51,1.2179022365177579
10,S 52,1.2063457537949371
10,S 71,1.2707840419473893
10,S 72,1.2264613282029657
11,REST,1.367419486281387
11,S 21,1.163031571253839
11,S 22,1.238711872899355
11,S 51,1.131992666894038
11,S 52,1.1308046432872718
11,S 71,1.2837799858394106
11,S 72,1.2131204714427681
12,REST,1.1720350228379641
12,S 21,1.0133856260391925
12,S 22,1.1013201890650877
12,S 51,1.0080222807264119
12,S 52,1.0714071098764253
12,S 71,1.1627825518726453
12,S 72,1.1248730858894613
13,REST,1.4664111440600056
13,S 21,1.270796865933866
13,S 22,1.3566336760431028
13,S 51,1.2344356696281775
13,S 52,1.2252882343660199
13,S 71,1.3252298644095597
13,S 72,1.2566910443899844
14,REST,1.2341012950133707
14,S 21,1.1484566988920022
14,S 22,1.234116058686906
14,S 51,1.1386301650681367
14,S 52,1.1620409868824504
14,S 71,1.2067455426520362
14,S 72,1.1372163224112226
15,REST,1.2698623612823796
15,S 21,1.1442051115609462
15,S 22,1.2019246489220596
15,S 51,1.1257303707169446
15,S 52,1.0999888428341191
15,S 71,1.2308770243956955
15,S 72,1.100484378541827
16,REST,1.2594040732308722
16,S 21,1.1199383605385136
16,S 22,1.1742606715848118
16,S 51,1.0977824276330772
16,S 52,1.096343588969583
16,S 71,1.17130644372815
16,S 72,1.102742194565163
17,REST,1.316262790511141
17,S 21,1.2311262016240603
17,S 22,1.300464273738987
17,S 51,1.2236816887241924
17,S 52,1.2251061694076195
17,S 71,1.2689114763896934
17,S 72,1.2240027958926532
18,REST,1.1640189004737125
18,S 21,1.0889661455099644
18,S 22,1.1331207749375953
18,S 51,1.1146866934585793
18,S 52,1.1165281515903034
18,S 71,1.0995642532521095
18,S 72,1.0348203836377694
19,REST,1.3249165941983092
19,S 21,1.2154902368843465
19,S 22,1.3032896995412664
19,S 51,1.2236546155593806
19,S 52,1.224654760889902
19,S 71,1.2612761813295033
19,S 72,1.2108368441545514
20,REST,1.3652616492526612
20,S 21,1.2056003327822031
20,S 22,1.2446491573749379
20,S 51,1.2232300054154304
20,S 52,1.232021161863284
20,S 71,1.3193886526265357
20,S 72,1.2392967253495202
21,REST,1.2251548281220115
21,S 21,1.1192027344096493
21,S 22,1.1947768516613924
21,S 51,1.1203243160218823
21,S 52,1.108614480722167
21,S 71,1.2029004478701544
21,S 72,1.1001260105481123
22,REST,1.3051317721392552
22,S 21,1.1998788068542743
22,S 22,1.257900925045616
22,S 51,1.2262770885086964
22,S 52,1.226739999759281
22,S 71,1.296298743002892
22,S 72,1.2140340107337926
23,REST,1.2678129360779093
23,S 21,1.1561235399809082
23,S 22,1.2089413259614659
23,S 51,1.13371873420801
23,S 52,1.1154120972293275
23,S 71,1.1880543428813586
23,S 72,1.1002874062461427
24,REST,1.2909716248401752
24,S 21,1.2178824525214476
24,S 22,1.2538185064587406
24,S 51,1.1812594565450927
24,S 52,1.1700001539270488
24,S 71,1.2250813808500232
24,S 72,1.165443061171893
25,REST,1.3207807701931296
25,S 21,1.2096098389890395
25,S 22,1.264654365994162
