subject,task,ent_rate
1,REST,1.2426810996957245
1,S 21,1.1874648554172718
1,S 22,1.2062734549995668
1,S 51,1.1363860976267366
1,S 52,1.141699888299274
1,S 71,1.1842114066239007
1,S 72,1.1377743289542601
2,REST,1.181799477507171
2,S 21,1.0535879472097205
2,S 22,1.0617568993342894
2,S 51,1.048749384233265
2,S 52,1.0700042677500619
2,S 71,1.064529426789031
2,S 72,1.0487687940427044
3,REST,1.1724852236969154
3,S 21,1.0984965349274685
3,S 22,1.1508979913136923
3,S 51,1.055144849825849
3,S 52,1.0709774506951315
3,S 71,1.13073779081252
3,S 72,1.0807279552563989
4,REST,1.234655912640754
4,S 21,1.0107149340484916
4,S 22,1.0301606607372484
4,S 51,1.0205341140172555
4,S 52,1.0254387228968274
4,S 71,1.0501248106183587
4,S 72,1.0200171742280948
5,REST,1.0859865340564545
5,S 21,0.9831071585921753
5,S 22,1.014831552953004
5,S 51,0.9784047196323362
5,S 52,0.9694549239858866
5,S 71,1.0249776588591986
5,S 72,1.0043023199603756
6,REST,1.1642290596510323
6,S 21,0.9639607347835808
6,S 22,1.0080091613404711
6,S 51,1.0600767044169466
6,S 52,1.0708949244349248
6,S 71,1.0628078468015283
6,S 72,1.0368567352679336
7,REST,1.2782891876973967
7,S 21,1.1113588928135887
7,S 22,1.163050848006792
7,S 51,1.1151728341189098
7,S 52,1.121121662878282
7,S 71,1.1960981282480299
7,S 72,1.1524406102841216
8,REST,1.2214437000340588
8,S 21,1.1250276180766905
8,S 22,1.1590710174600027
8,S 51,1.1304050105501715
8,S 52,1.1487393370893602
8,S 71,1.1557960116548966
8,S 72,1.115160227420826
9,REST,1.127091500075923
9,S 21,1.081081927864614
9,S 22,1.1048061476567572
9,S 51,1.0643987561605643
9,S 52,1.0779366361172027
9,S 71,1.1226093345344947
9,S 72,1.0824934949784102
10,REST,1.179217075225343
10,S 21,1.0924330289915418
10,S 22,1.1367601483094798
10,S 51,1.1076966289372991
10,S 52,1.1002975782462818
10,S 71,1.1305705693655967
10,S 72,1.12135586861456
11,REST,1.2392850479240907
11,S 21,1.0758902044719283
11,S 22,1.1370727351189278
11,S 51,1.0413490682675433
11,S 52,1.0410467320305292
11,S 71,1.1727753168144892
11,S 72,1.1257234740206772
12,REST,1.0590922199882007
12,S 21,0.9211273816899086
12,S 22,0.9937719932452502
12,S 51,0.9365281423966293
12,S 52,0.9753003779227412
12,S 71,1.047163032822017
12,S 72,1.031654616750993
13,REST,1.3420964850097787
13,S 21,1.1858987319633565
13,S 22,1.2377151504706394
13,S 51,1.1654181054394523
13,S 52,1.1509020486438881
13,S 71,1.2164953430507888
13,S 72,1.1919066867717834
14,REST,1.1181878842991726
14,S 21,1.055494594383733
14,S 22,1.1023141622072448
14,S 51,1.0509078265410463
14,S 52,1.044310060480138
14,S 71,1.0862791082647316
14,S 72,1.0484697856901903
15,REST,1.1507678780212678
15,S 21,1.0325836466937588
15,S 22,1.0822054234673881
15,S 51,1.028338745922658
15,S 52,1.014065565971264
15,S 71,1.1043576240105497
15,S 72,0.9935056333655984
16,REST,1.1177973905771947
16,S 21,1.0220824836823814
16,S 22,1.0627112048836513
16,S 51,0.9923423734969702
16,S 52,1.0148758520695045
16,S 71,1.0533759333679094
16,S 72,1.0144796773074662
17,REST,1.1870778172758392
17,S 21,1.1304548156056022
17,S 22,1.1688648801576356
17,S 51,1.1217558264052299
17,S 52,1.123325748872539
17,S 71,1.1425788288298466
17,S 72,1.1190815297051149
18,REST,1.027041385990869
18,S 21,0.9705233941209807
18,S 22,1.005453168542735
18,S 51,0.9916142419044524
18,S 52,0.9878836567441637
18,S 71,0.9643810147034793
18,S 72,0.9198188426111902
19,REST,1.1678307288450298
19,S 21,1.1060121909132647
19,S 22,1.153388747934222
19,S 51,1.1076142358808247
19,S 52,1.1055391357869488
19,S 71,1.1158604930252651
19,S 72,1.0960383683270567
20,REST,1.2350510939799257
20,S 21,1.1040786052911828
20,S 22,1.1329498166432785
20,S 51,1.1210606383614818
20,S 52,1.1371954103697175
20,S 71,1.1974749152216522
20,S 72,1.147165746333468
21,REST,1.1107223465489244
21,S 21,1.0280831060414621
21,S 22,1.0815193810979435
21,S 51,1.0216323365583586
21,S 52,1.0153401285948398
21,S 71,1.090219634640583
21,S 72,1.0067925931490702
22,REST,1.1890117517305294
22,S 21,1.1138587810748597
22,S 22,1.140386594235066
22,S 51,1.1290293004708765
22,S 52,1.144856113866575
22,S 71,1.1741332809925416
22,S 72,1.1264355155959929
23,REST,1.1509373371330756
23,S 21,1.0793102231532372
23,S 22,1.1001817002887058
23,S 51,1.0622465473875937
23,S 52,1.0279669836706458
23,S 71,1.0694444938362473
23,S 72,1.027135042602492
24,REST,1.1472688853028312
24,S 21,1.119861833952461
24,S 22,1.1276142712261068
24,S 51,1.0710469280653614
24,S 52,1.0586324529605922
24,S 71,1.092996558905641
24,S 72,1.0440885394354384
25,REST,1.1897545808947734
25,S 21,1.1006692508450289
25,S 22,1.1554468348130809
25,S 51,1.115969748869768
25,S 52,1.106803615090139
25,S 71,1.1465679737572037
25,S 72,1.1180129827801346
26,REST,1.0913378306382107
