subject,task,ent_rate
16,REST,1.404996398153949
16,S 21,1.2430538320430515
16,S 22,1.3541781167374909
16,S 51,1.216268095853964
16,S 52,1.2319251046009683
16,S 71,1.34473396128047
16,S 72,1.2401191764555266
17,REST,1.4551612101546865
17,S 21,1.318647148636101
17,S 22,1.4689474040607433
17,S 51,1.313611433616731
17,S 52,1.3301073649734025
17,S 71,1.4225970245251827
17,S 72,1.3412811776455091
18,REST,1.3199236242750978
18,S 21,1.1798400787746774
18,S 22,1.2987902773684092
18,S 51,1.1952928982445823
18,S 52,1.2152972745189121
18,S 71,1.260621677376741
18,S 72,1.1556779666821837
19,REST,1.457298131694615
19,S 21,1.3085240730427141
19,S 22,1.4416888957108833
19,S 51,1.3019723825403422
19,S 52,1.316317720989323
19,S 71,1.4048412437130386
19,S 72,1.3221488200138458
20,REST,1.4973560976807032
20,S 21,1.3135191415134209
20,S 22,1.4266229687135163
20,S 51,1.3191402526895686
20,S 52,1.3283463287781556
20,S 71,1.4833498641467884
20,S 72,1.3461834613004635
21,REST,1.3805555927575364
21,S 21,1.2189486407375838
21,S 22,1.3430686809139198
21,S 51,1.2072007198407826
21,S 52,1.220542160189438
21,S 71,1.3515345384838715
21,S 72,1.195691777933219
22,REST,1.4536146319015821
22,S 21,1.3185874825001829
22,S 22,1.4355845880598972
22,S 51,1.3271499044835795
22,S 52,1.3416049602583215
22,S 71,1.447003222982333
22,S 72,1.3373168418737504
23,REST,1.4104330976976185
23,S 21,1.282044138309272
23,S 22,1.387030272425523
23,S 51,1.252873610413431
23,S 52,1.2439094048861032
23,S 71,1.3613821920684137
23,S 72,1.2441430915346736
24,REST,1.4212005510036427
24,S 21,1.3122891481678618
24,S 22,1.4116497727604367
24,S 51,1.270226898863917
24,S 52,1.2689283428844471
24,S 71,1.3840162551256416
24,S 72,1.2680859833688751
25,REST,1.456319821874105
25,S 21,1.2873045442229454
25,S 22,1.421485183612553
25,S 51,1.2896218461184965
25,S 52,1.2916191191696018
25,S 71,1.4125535210294615
25,S 72,1.302401188874715
26,REST,1.3683883144977418
26,S 21,1.2524302255861544
26,S 22,1.36380554389492
26,S 51,1.2552901534588465
26,S 52,1.2639938964411652
26,S 71,1.3630863719157442
