subject,task,ent_rate
1,REST,1.490182201710411
1,S 21,1.3052738615673234
1,S 22,1.4685137071913041
1,S 51,1.289300051439454
1,S 52,1.299717750263564
1,S 71,1.439998895011172
1,S 72,1.3104383479350632
2,REST,1.4652916706701875
2,S 21,1.255138593415615
2,S 22,1.3910595252403075
2,S 51,1.240795743562643
2,S 52,1.2672528684760045
2,S 71,1.3795639889379023
2,S 72,1.249105292581671
3,REST,1.4777341984140648
3,S 21,1.2771411516667501
3,S 22,1.453069219179913
3,S 51,1.2598839406084306
3,S 52,1.2829992443624978
3,S 71,1.4298015854935033
3,S 72,1.3021736931119057
4,REST,1.491732128471617
4,S 21,1.2225975796724795
4,S 22,1.367318813387542
4,S 51,1.229851931813441
4,S 52,1.2566436248336528
4,S 71,1.3507118728362353
4,S 72,1.242110827350258
5,REST,1.4207453699109942
5,S 21,1.213802170160115
5,S 22,1.345729920696698
5,S 51,1.2179997104175404
5,S 52,1.2072050414244604
5,S 71,1.3514708224902576
5,S 72,1.2370980307260317
6,REST,1.4648281685659021
6,S 21,1.201751900657648
6,S 22,1.3248871815370746
6,S 51,1.2599420334861664
6,S 52,1.284251303953327
6,S 71,1.369365168006444
6,S 72,1.252201593813253
7,REST,1.528991305705806
7,S 21,1.2650003387492914
7,S 22,1.424426906866929
7,S 51,1.282803390453104
7,S 52,1.2823601755997904
7,S 71,1.4475097526674832
7,S 72,1.2867430244660307
8,REST,1.495906919029937
8,S 21,1.3050134403696754
8,S 22,1.4584674336881351
8,S 51,1.303243211966811
8,S 52,1.3223775360377212
8,S 71,1.4554363421707293
8,S 72,1.3175276752930007
9,REST,1.4455874680172263
9,S 21,1.3222783001198746
9,S 22,1.4558144486732447
9,S 51,1.3044831341233178
9,S 52,1.317908450138984
9,S 71,1.4491309509297192
9,S 72,1.3294530161342115
10,REST,1.478240118031961
10,S 21,1.30792242000037
10,S 22,1.450633577113013
10,S 51,1.2916137628805013
10,S 52,1.314420921775774
10,S 71,1.433337285000895
10,S 72,1.312221584590032
11,REST,1.4941047833644212
11,S 21,1.2427162451509637
11,S 22,1.418697204054778
11,S 51,1.229355080014977
11,S 52,1.2448720669773625
11,S 71,1.4287877438236614
11,S 72,1.3064848364749564
12,REST,1.3768391874228987
12,S 21,1.1875787086822926
12,S 22,1.342709157097447
12,S 51,1.1927239020352254
12,S 52,1.2296244306771722
12,S 71,1.3870690327818123
12,S 72,1.274267766118104
13,REST,1.571174999932545
13,S 21,1.2850896862047347
13,S 22,1.4779952825564109
13,S 51,1.2776851533813798
13,S 52,1.2788624046676242
13,S 71,1.4531838620513318
13,S 72,1.3118110205030453
