Subject,Cond,Int,Cost,RT
1,C,H,0.11543176732684744,0.9319466666666667
1,C,M,0.07139474598991565,0.9127567567567568
1,C,L,0.05036151859951125,0.884310502283105
1,I,H,0.15343476486848173,0.905972602739726
1,I,M,0.1012521970786262,1.0236756756756755
1,I,L,0.12386905120610546,1.0599466666666668
2,C,H,0.16646489206850978,0.8599466666666667
2,C,M,0.14505819531202963,0.8584864864864865
2,C,L,0.16017397213785362,0.7968219178082192
2,I,H,0.14156204152938237,0.8753607305936073
2,I,M,0.1055578014565449,0.9287567567567567
2,I,L,0.1044995753444406,0.8981333333333333
3,C,H,0.02212403238806435,0.8386133333333333
3,C,M,0.036135161065880037,0.9161081081081082
3,C,L,0.012687418575591643,0.8639269406392694
3,I,H,0.037183862653681336,0.9251141552511416
3,I,M,0.043702106882695976,0.9712432432432432
3,I,L,0.04973091275130341,1.0977066666666666
4,C,H,0.16215886622641928,0.7727999999999999
4,C,M,0.11567716243292708,0.7785945945945946
4,C,L,0.12110513191271677,0.695269406392694
4,I,H,0.13612484825651694,0.8157442922374429
4,I,M,0.18589096322127843,0.9843243243243244
4,I,L,0.1643933551851758,0.9127466666666667
5,C,H,0.061396641169652766,0.8881066666666667
5,C,M,0.06946316509142614,0.8994594594594595
5,C,L,0.06140953292178338,0.8683835616438356
5,I,H,0.026563033151398206,0.9164566210045662
5,I,M,0.05061556120248234,0.9365405405405405
5,I,L,0.059394690376859516,0.95392
6,C,H,0.141548743063193,0.84992
6,C,M,0.06036685703858862,0.9047567567567568
6,C,L,0.09480382667430622,0.8572054794520547
6,I,H,0.09757163754424944,0.891433789954338
6,I,M,0.07682987809696569,1.0111351351351352
6,I,L,0.11085149554112891,1.0136533333333333
7,C,H,0.20086639509848989,0.8483200000000001
7,C,M,0.08704225794978815,0.9203243243243244
7,C,L,0.12151807447455883,0.8127488584474886
7,I,H,0.22256088707408012,0.8335707762557077
7,I,M,0.13950540466455907,0.952
7,I,L,0.1642778094262161,0.8737066666666667
8,C,H,0.03780899735490497,0.95136
8,C,M,0.021823293376926286,0.9408648648648649
8,C,L,0.010654188470702677,0.9194885844748859
8,I,H,0.03791833753109092,0.9536073059360731
8,I,M,0.034281485375879966,1.0448648648648649
8,I,L,0.025570344457287654,1.07968
9,C,H,0.02915537469234815,1.1658666666666666
9,C,M,0.06362049099246157,1.1251891891891892
9,C,L,0.0258100751222705,1.0627214611872147
9,I,H,0.03679258247831491,1.2062465753424658
9,I,M,0.06874801294953431,1.2087567567567568
9,I,L,0.028792092050438138,1.1998933333333335
10,C,H,0.06317423618451677,1.0529066666666667
10,C,M,0.053532686928896775,1.0287567567567566
10,C,L,0.09019934885215158,0.9397260273972603
10,I,H,0.11061693136320772,1.0592511415525114
10,I,M,0.0950849839739191,1.119027027027027
10,I,L,0.08855880946740245,1.08448
11,C,H,0.2078416069191536,0.8784
11,C,M,0.11107879647707385,0.8301621621621622
11,C,L,0.1199383987398322,0.8728036529680365
11,I,H,0.12289207910135805,0.9396529680365298
11,I,M,0.16667012146516963,0.9387027027027027
11,I,L,0.09619222612101125,1.0625066666666667
12,C,H,0.15686952469449195,1.0605866666666666
12,C,M,0.1618697565487937,1.0563243243243243
12,C,L,0.15196001437208617,1.0025205479452055
12,I,H,0.14383605763921262,1.093150684931507
12,I,M,0.07898804579572084,1.126162162162162
12,I,L,0.10591421283258,1.1070933333333333
13,C,H,0.12932629695630854,0.7691733333333333
13,C,M,0.24485748974312266,0.7596756756756756
13,C,L,0.15710039828398173,0.7275981735159818
13,I,H,0.18732001850510765,0.78213698630137
13,I,M,0.15903641226687343,0.7572972972972973
13,I,L,0.09335478426966223,0.8657066666666667
14,C,H,0.033394870655699904,0.8858666666666667
14,C,M,0.05229642759874309,0.8686486486486487
14,C,L,0.010670622761999104,0.8883287671232877
14,I,H,0.008698448454684605,0.9151415525114155
14,I,M,0.022521356545226384,0.9595675675675676
14,I,L,0.01797568425617746,1.0309333333333335
15,C,H,0.10526596037740157,0.8994133333333333
15,C,M,0.08601955636726764,0.8841081081081081
15,C,L,0.09527566104842271,0.8646940639269407
15,I,H,0.1932339296361556,0.9508675799086758
15,I,M,0.1020519288454291,1.034810810810811
15,I,L,0.14317243459306664,1.1024
16,C,H,0.06121157091206342,1.0436266666666667
16,C,M,0.08646424131989416,0.9846486486486487
16,C,L,0.034196236479705995,0.978703196347032
16,I,H,0.07599089832693263,1.0282374429223744
16,I,M,0.19726516617848183,1.0838918918918918
16,I,L,0.11200873755793041,1.10944
17,C,H,0.014408424216276904,0.97568
17,C,M,0.027188537244384685,0.8978378378378378
17,C,L,0.012516956061991252,0.8898995433789955
17,I,H,0.016079497219977833,1.0966940639269405
17,I,M,0.00982227530268836,1.046918918918919
17,I,L,0.0059162552103208185,1.10176
