Subject,Cond,Int,State,Delta
3,C,L,I,0.005078590505024655
3,I,H,A,-0.01282229466164475
3,I,H,B,-0.02526393502773104
3,I,H,C,-0.015126234829600821
3,I,H,D,0.028136217938957403
3,I,H,E,0.0014662623622878623
3,I,H,F,0.014594856932689235
3,I,H,G,-0.0073095788872828416
3,I,H,H,0.008053371865267944
3,I,H,I,0.00827133430705701
3,I,M,A,-0.012935396905932942
3,I,M,B,-0.020980325425401916
3,I,M,C,-0.020957415236756594
3,I,M,D,0.0011010192441625044
3,I,M,E,0.02622080680193664
3,I,M,F,0.005200241606902203
3,I,M,G,-0.014187630819466321
3,I,M,H,0.00815981974365039
3,I,M,I,0.028378880990906075
3,I,L,A,-0.011196906392171899
3,I,L,B,-0.02273853377957076
3,I,L,C,-0.01566309396614113
3,I,L,D,0.00998329523543448
3,I,L,E,0.02816101850253558
3,I,L,F,-0.0041608869518597325
3,I,L,G,-0.017382429324553333
3,I,L,H,0.0016199756017677702
3,I,L,I,0.031377561074559024
4,C,H,A,-0.03730477944892509
4,C,H,B,0.030703418754386688
4,C,H,C,0.022854904812796978
4,C,H,D,0.01580882892306054
4,C,H,E,-0.0006450262347969526
4,C,H,F,-0.06213934173368912
4,C,H,G,0.05479744332774934
4,C,H,H,-0.03623246076921746
4,C,H,I,0.012157012368635048
4,C,M,A,-0.021154848701599893
4,C,M,B,0.024441202273994087
4,C,M,C,0.051003266331116126
4,C,M,D,-0.03132894758216219
4,C,M,E,0.02329577772484237
4,C,M,F,-0.04704871722539078
4,C,M,G,0.010588728203950251
4,C,M,H,-0.01817036276676473
4,C,M,I,0.008373901742014758
4,C,L,A,-0.021432118921100418
4,C,L,B,0.050022978400473025
4,C,L,C,0.03691200523157129
4,C,L,D,-0.013168860729109805
4,C,L,E,0.0011332226291771719
4,C,L,F,-0.04944707143072434
4,C,L,G,0.022596417446182362
4,C,L,H,-0.030458050648580308
4,C,L,I,0.0038414780221110445
4,I,H,A,-0.03550920852017411
4,I,H,B,0.008278536379697735
4,I,H,C,0.025711709573369768
4,I,H,D,0.00522162224385464
4,I,H,E,0.05155655880766244
4,I,H,F,-0.06402833733623947
4,I,H,G,0.013085832841205222
4,I,H,H,-0.012448238574129494
4,I,H,I,0.008131524584753289
4,I,M,A,-0.033159217492318066
4,I,M,B,-0.002595692261220292
4,I,M,C,0.041979154565225246
4,I,M,D,-0.022357127715784852
4,I,M,E,0.06489446415964653
4,I,M,F,-0.06324218718865834
4,I,M,G,-0.007929222679483955
4,I,M,H,-0.008347979851286214
4,I,M,I,0.03075780846387996
4,I,L,A,-0.03345394939224271
4,I,L,B,0.010485601209183973
4,I,L,C,0.022366949766407712
4,I,L,D,0.004095262454932608
4,I,L,E,0.054992188519540325
4,I,L,F,-0.06679668239562302
4,I,L,G,-0.01206686682784025
4,I,L,H,-0.011289458889967102
4,I,L,I,0.03166695555560847
5,C,H,A,-0.023302835838792745
5,C,H,B,-0.013906401334241758
5,C,H,C,-0.015966732704721917
5,C,H,D,0.01926684158863423
5,C,H,E,-0.002560299002947908
5,C,H,F,0.026469278082797615
5,C,H,G,-0.016134334092357788
5,C,H,H,0.034551343389882874
5,C,H,I,-0.008416860088252626
5,C,M,A,-0.010521395863922547
5,C,M,B,-0.021180793183684654
5,C,M,C,-0.010234544148022787
5,C,M,D,-0.004194015504068893
5,C,M,E,0.030233867555931604
5,C,M,F,-0.003968795883831477
5,C,M,G,-0.027116151938215996
5,C,M,H,0.04282619256484914
5,C,M,I,0.004155636400965584
5,C,L,A,-0.014525379218612619
5,C,L,B,-0.011387091964409221
5,C,L,C,-0.03434745089675109
5,C,L,D,0.02031595259026317
5,C,L,E,0.004100504452603848
5,C,L,F,0.014261644906238297
5,C,L,G,-0.006716263252108223
5,C,L,H,0.037125622890118684
5,C,L,I,-0.00882753950734283
5,I,H,A,-0.019486760856073253
5,I,H,B,-0.015610247657781975
5,I,H,C,-0.007264690341115404
5,I,H,D,0.01556903394648057
5,I,H,E,0.002360903466449654
5,I,H,F,0.013082567930925201
5,I,H,G,0.008316663014688239
5,I,H,H,0.011690865838004563
5,I,H,I,-0.008658335341577589
5,I,M,A,-0.013974132524699145
5,I,M,B,-0.02773473556907255
5,I,M,C,-0.0002512292766422841
5,I,M,D,0.018660614931292813
5,I,M,E,0.011799700141907343
5,I,M,F,0.005296653329889128
5,I,M,G,-0.02530628859366489
5,I,M,H,0.028830594020198594
5,I,M,I,0.002678823540791006
5,I,L,A,-0.019850512319422767
5,I,L,B,-0.007091870498129121
5,I,L,C,-0.02034345238308416
5,I,L,D,-0.005316589885407105
5,I,L,E,-0.003135914568463072
5,I,L,F,-0.003125070881896133
5,I,L,G,0.002437043943393169
5,I,L,H,0.05657151281962512
5,I,L,I,-0.00014514622661593313
6,C,H,A,-0.04345728271766125
6,C,H,B,-0.02726902127728341
6,C,H,C,0.05729090567905032
6,C,H,D,0.0020426614185338476
6,C,H,E,-0.016751789313490945
6,C,H,F,0.024715421976514357
6,C,H,G,0.04526365835201496
6,C,H,H,-0.025498420767850083
6,C,H,I,-0.01633613334982778
6,C,M,A,-0.03370243707148472
6,C,M,B,-0.031696232452009795
6,C,M,C,0.0426705140875919
6,C,M,D,-0.006212083574102481
6,C,M,E,0.020377415161236728
6,C,M,F,0.008809613295500424
6,C,M,G,-0.009526163499616672
6,C,M,H,0.0014473057395656547
6,C,M,I,0.007832068313319007
6,C,L,A,-0.045925285642169314
6,C,L,B,-0.04444636655715
6,C,L,C,0.03025553972020087
6,C,L,D,0.008324661061185262
6,C,L,E,0.005890974274740779
6,C,L,F,0.04086779675304314
6,C,L,G,0.011428721314167847
6,C,L,H,-0.00984972267709791
6,C,L,I,0.0034536817530793767
6,I,H,A,-0.04666285795883823
6,I,H,B,-0.04294905794240474
6,I,H,C,0.03534655840099002
6,I,H,D,0.0021286145824989805
6,I,H,E,0.009745139063048441
6,I,H,F,0.03037927930724285
6,I,H,G,0.025139658480052424
6,I,H,H,-0.011717268621667512
6,I,H,I,-0.001410065310922165
6,I,M,A,-0.032274118541658625
6,I,M,B,-0.03638343520370438
6,I,M,C,0.032738550529810145
6,I,M,D,-0.009892454754487107
6,I,M,E,0.04046031313243087
6,I,M,F,0.004567123232516679
6,I,M,G,-0.011576862611342359
6,I,M,H,0.014717693341103635
6,I,M,I,-0.002356809124668832
6,I,L,A,-0.038459046058512816
6,I,L,B,-0.05250971624699706
6,I,L,C,0.042458834576583004
6,I,L,D,0.0016083898695366389
