,subj,K,GEV,silhouette,calinski-harabasz,dunn,davies_bouldin
70,8,9,0.7997454245742398,0.30680066337477896,2809.722842585912,4.123936738077755e-07,288604834188638.75
71,8,10,0.8065840122448086,0.26790148679034903,2810.513407744513,1.7228036948519018e-07,1027216224291945.4
72,9,2,0.6002475527848086,0.5249826249521464,2625.792121140668,1.1733304066698175e-10,24.09007594287312
73,9,3,0.6674301967418055,0.7096224685667021,4687.435337876202,2.640313723338938e-09,6962892219608033.0
74,9,4,0.7081790334753979,0.5938704140280525,3766.869315639853,1.435017917136094e-09,1.2737407593567696e+16
75,9,5,0.7427991418950244,0.45908191023734196,3508.4528339383455,3.5389647093211964e-08,2.461984043785207
76,9,6,0.7622036948503496,0.44187525194477556,3999.4512726570492,7.817799765948948e-08,3711880660838162.5
77,9,7,0.7775488902616994,0.3588546900473627,3222.464155467216,9.366235207897971e-08,1667743293634237.8
78,9,8,0.7902354105902645,0.32790568363370703,3198.338441729234,8.586895474281426e-08,2.6981220885145043
79,9,9,0.8012755066188214,0.32088179629133046,2844.3950514644976,2.89436595447631e-07,1247894518308424.0
80,9,10,0.8084379672398386,0.2842285859477749,2565.8738498901184,5.457269200766147e-08,462730071963615.7
81,10,2,0.6697407208366648,0.4832101959125893,1972.6512844331105,4.016546992374577e-10,34.31369029390753
82,10,3,0.714797928142917,0.6038218196230972,5234.297502357392,8.894332555209649e-10,14.958845398112885
83,10,4,0.7392018592690642,0.45007651571914986,4347.938165858907,1.5029047158906798e-09,7274444988445201.0
84,10,5,0.7595423088942873,0.35085623212374756,2839.8886885437596,1.5029047158906798e-09,11.491747285343974
85,10,6,0.7733421913823497,0.3388821685655269,3291.3812728337903,2.205408685480952e-08,4093404916925476.0
86,10,7,0.7849448885840811,0.3178287290920885,3006.5981080200618,1.919629490557128e-08,5842721197439298.0
87,10,8,0.7951167545287636,0.20790104575251575,2265.103091849104,1.919629490557128e-08,5956868504664213.0
88,10,9,0.8038881443779867,0.22481326400494536,2467.148581835025,2.799467162062197e-08,3855625391444274.0
89,10,10,0.8111525594295469,0.219033167762355,2379.681368133802,1.2617601944078318e-07,3663886248310965.5
90,11,2,0.6875158670116841,0.6999459316494479,8733.879691528613,1.866244875667505e-09,2.2250979323408396e+16
91,11,3,0.7395561108175208,0.4422087223879889,2621.5316435854115,2.4484399447679476e-09,13.174756151693417
92,11,4,0.7672664265534614,0.5082897267575393,2203.6747750317477,2.6475260112597382e-09,1726846890735749.0
93,11,5,0.7873171992155525,0.34688564705975805,3707.827806926015,1.683669363976447e-09,3463697428908719.0
94,11,6,0.8020391884567764,0.29667078017486503,3573.56055701985,3.6972913350444477e-09,414231566899376.0
95,11,7,0.8132767206054158,0.3107124798567255,3718.316958027471,1.683669363976447e-09,633336153516384.0
96,11,8,0.822889810849512,0.30606913351215387,3256.205391575533,1.0369638596256379e-07,215650447614699.88
97,11,9,0.8316811757119217,0.2611773649259634,2995.655424221125,2.1054622768027204e-09,6263997723132018.0
98,11,10,0.8382415899418121,0.2600918637236641,1885.9860128729533,1.3554797761443414e-07,465661634680047.2
99,12,2,0.739776355980986,0.6322150829056593,2232.9357080491404,7.101081352406973e-11,32.10107199866935
100,12,3,0.7784588452326315,0.36703075098641685,2123.292968953491,5.58482356279496e-10,26.216084875687894
101,12,4,0.8009200557347697,0.4044656495787816,4817.70043097194,7.8727712368769e-09,3503556728724265.0
102,12,5,0.8190426619875437,0.33248064130891136,1888.0132579321878,8.051553559185415e-09,1934851380577896.8
103,12,6,0.83285221863347,0.25511851792570667,3785.37678894481,7.430556622164432e-08,3.3299359761297644
104,12,7,0.842035548704512,0.21826518759005353,2841.0627096334724,8.964795328536663e-08,1815013559942635.5
105,12,8,0.8506245859791801,0.2331129047244079,3368.2264116018086,1.2139839175842647e-07,1678326312015454.0
106,12,9,0.857348954462669,0.20982842174481703,2919.5715427399628,8.45959352588899e-08,714328726211439.0
107,12,10,0.8627551420262755,0.20779914362055343,2769.689074295776,1.2095065271134435e-07,212991795278177.0
108,13,2,0.6666686620189078,0.5637876961870049,9263.655100977516,1.7512037656166962e-10,3.721732571501364e+16
109,13,3,0.7135977675543161,0.6637948856163423,2197.4293367818705,1.6600612411288268e-09,1.3249411956285522e+16
110,13,4,0.7463979729954694,0.5263799766102738,1929.683568402628,1.0924855598874365e-10,26.812606205041234
111,13,5,0.7687899575179301,0.36776097279207837,4291.286948024768,8.76071060243072e-11,26.80584458990404
112,13,6,0.7857033353094098,0.25968084648010137,1724.0971524071476,1.4306135797775516e-08,3759930074918236.0
113,13,7,0.7979458278143202,0.28244524715735736,3033.452769185501,1.9127183219265528e-08,3307279841087315.5
114,13,8,0.8081305099095824,0.2652976474142041,2993.062710289953,1.500989843293044e-10,2149142763947646.0
115,13,9,0.817068905487987,0.2715361267060231,3218.863493893927,1.435183989430911e-10,860422277070169.0
116,13,10,0.824034302780447,0.2592623373975141,2716.3261061231797,1.435183989430911e-10,2187835751902758.5
117,14,2,0.6712899798882513,0.5870115856432118,8225.557192522476,2.401732021032023e-10,22.715510939141048
118,14,3,0.7171420533517434,0.6546095114847671,6061.318327498669,5.543554770316297e-10,11.717299384798102
119,14,4,0.750316260080991,0.5260729411428084,4310.1668285781225,2.171950022123925e-08,3604759901914449.0
120,14,5,0.7726042132221261,0.4266397381990644,3772.274427984523,2.5562834463505348e-08,800219253367161.2
121,14,6,0.789265532758107,0.3519376667930217,3788.896132504014,3.120722212296658e-08,3.1871819298280637
122,14,7,0.8016197071413116,0.3088495217193871,2527.227725537816,1.0316496887946706e-07,886983073076604.0
123,14,8,0.8117806120794278,0.28166960841850713,3021.103687496653,2.985086963605237e-07,279240326711554.34
124,14,9,0.8203292398241162,0.2821378439820694,2147.8322079190393,4.1365876291630236e-08,1602837553796942.5
125,14,10,0.826242677019278,0.24312606647790438,2530.3124003146118,4.239601253632984e-07,1344616858445038.2
126,15,2,0.6245707950439565,0.5704066830512482,7466.307798342139,4.287083799284452e-12,145.61984151767518
127,15,3,0.6828188416953564,0.6372214431284621,2649.786582582923,7.25609860605018e-10,2.4527302110693108e+16
128,15,4,0.724874756471591,0.5792525006086983,5409.934576443678,1.9582956073817974e-09,6.124627845992176
129,15,5,0.7543100206670232,0.4755912308475326,4418.175576447258,2.9389598638522646e-08,5640213017646076.0
130,15,6,0.7735997268984148,0.4108141740351164,2331.977530782663,2.040649321417913e-08,1504282133560745.8
131,15,7,0.7895651113276475,0.363051819624724,1909.881692295514,3.058165186099508e-08,1191838954243135.2
132,15,8,0.8007837959960864,0.33035075212122494,2612.3157675750135,8.772880417144668e-08,2348627943576422.0
133,15,9,0.8107537636178298,0.32121154901591514,2923.9951536106933,1.284306625960252e-07,1437683825123220.8
134,15,10,0.8181993193020201,0.28334288586358664,2658.1941157956276,1.1022851326734041e-07,887356368455440.0
135,16,2,0.5982669841010916,0.5642794873872533,6498.764566736956,2.6065793210569133e-09,8.631531936388253
136,16,3,0.6660654631597612,0.6855557675195598,3533.385084370063,2.9072513957190702e-11,40.076095608614395
137,16,4,0.7145361717934643,0.6239257619118118,3133.510326362095,2.6214257599118376e-08,1.2133007280526364e+16
138,16,5,0.7451515522094893,0.5189940532051209,3388.8594164981055,1.3299284619566966e-08,2603928523077644.0
139,16,6,0.767062525440333,0.4846710909900481,2610.0907600219193,1.376953004787663e-07,1986596318445252.2
140,16,7,0.7834919984419811,0.39519059807903684,3549.311731630779,1.0247235125658836e-07,709919976053986.2
141,16,8,0.7956101961482694,0.3741857856138499,2727.765632774348,1.952586067389134e-07,1009487275137918.2
142,16,9,0.8066876186559773,0.35576654119206247,2912.290606839541,3.6682633614652334e-08,960228084036866.5
143,16,10,0.8144497662137119,0.33005431980608235,2753.344074140009,2.9135911419995944e-07,1861702810862743.5
144,17,2,0.5444483965764217,0.5105444387622888,4521.46403631758,2.272854743310627e-09,4.591915425432383
145,17,3,0.6244109831740539,0.7234524565706408,3750.8671085094593,2.445843118113878e-09,3.0798708190273692e+16
146,17,4,0.6731956562943203,0.6276019744257958,3090.4506245800135,3.0301013765305064e-09,7345429096310924.0
147,17,5,0.7074620245599951,0.5392782365628812,3367.338317503007,7.45395800342539e-08,2618178823430634.5
148,17,6,0.7311408396518608,0.5044565940325075,2594.925665502587,8.091307810619093e-08,1.797775532753767
149,17,7,0.7482544387548287,0.4063460279144654,2575.6194565942496,4.955643761433494e-08,2.2132135096898415
150,17,8,0.7610409226707602,0.36353807223113915,2271.519085276514,7.45395800342539e-08,592277965967385.2
